k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
0,0.5729,15.0540,7.7769,5.0265,3.1731
1,1.7187,2.3938,2.3120,1.9941,1.6119
2,2.8645,0.9014,1.2074,1.1906,1.0924
3,4.0103,0.6189,0.9383,0.9810,0.9587
4,5.1561,0.5605,0.8780,0.9426,0.9508
5,6.3019,0.4503,0.7032,0.7660,0.7900
10,12.0309,0.5956,0.8096,0.8875,0.9447
15,17.7599,0.7411,0.8903,0.9569,1.0133
20,23.4890,0.8416,0.9265,0.9733,1.0156
25,29.2180,0.9585,0.9952,1.0243,1.0515
30,34.9470,1.0332,1.0305,1.0426,1.0544
35,40.6760,1.0479,1.0189,1.0179,1.0175
40,46.4050,1.1126,1.0646,1.0538,1.0439
45,52.1340,1.1381,1.0794,1.0622,1.0457
50,57.8630,1.0698,1.0108,0.9902,0.9695
55,63.5921,1.0973,1.0334,1.0088,0.9837
60,69.3211,1.0980,1.0327,1.0060,0.9786
65,75.0501,1.0317,0.9636,0.9355,0.9073
69,79.6333,1.0262,0.9567,0.9272,0.8978
