k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.6 b=2.5 nugget0,GC a=0.6 b=2.5 nugget free,GC a=0.6 b=3.3 nugget0,GC a=0.6 b=3.3 nugget free,GC a=0.6 b=5 nugget0,GC a=0.6 b=5 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3.3 nugget0,GC a=0.7 b=3.3 nugget free,GC a=0.7 b=5 nugget0,GC a=0.7 b=5 nugget free
0,0.5729,15.0540,3.7866,5.0025,3.5881,5.4559,3.6851,6.0509,3.7813,8.7625,4.4752,9.9712,4.5586,11.6060,4.6480
1,1.7187,2.3938,1.2506,1.7429,1.4549,1.7755,1.4467,1.8106,1.4319,2.3903,1.6035,2.4728,1.5721,2.5691,1.5336
2,2.8645,0.9014,0.7111,1.0202,0.9323,1.0120,0.9184,0.9994,0.9001,1.2013,0.9603,1.1911,0.9322,1.1749,0.8991
3,4.0103,0.6189,0.6122,0.8506,0.8182,0.8360,0.8049,0.8170,0.7883,0.9192,0.8155,0.8963,0.7918,0.8667,0.7643
4,5.1561,0.5605,0.6296,0.8317,0.8252,0.8150,0.8127,0.7940,0.7974,0.8547,0.8098,0.8280,0.7886,0.7948,0.7643
5,6.3019,0.4503,0.5462,0.6865,0.6967,0.6718,0.6869,0.6539,0.6752,0.6826,0.6772,0.6595,0.6615,0.6314,0.6436
10,12.0309,0.5956,0.8243,0.8467,0.9057,0.8316,0.8997,0.8138,0.8928,0.7875,0.8765,0.7640,0.8690,0.7366,0.8609
15,17.7599,0.7411,1.0091,0.9416,1.0170,0.9297,1.0148,0.9159,1.0125,0.8723,0.9975,0.8534,0.9970,0.8319,0.9970
20,23.4890,0.8416,1.0748,0.9710,1.0397,0.9633,1.0400,0.9543,1.0405,0.9142,1.0340,0.9013,1.0372,0.8868,1.0413
25,29.2180,0.9585,1.1309,1.0257,1.0799,1.0214,1.0814,1.0164,1.0832,0.9876,1.0854,0.9798,1.0897,0.9710,1.0949
30,34.9470,1.0332,1.1273,1.0428,1.0772,1.0415,1.0790,1.0400,1.0812,1.0274,1.0904,1.0243,1.0942,1.0209,1.0986
35,40.6760,1.0479,1.0722,1.0149,1.0308,1.0157,1.0325,1.0167,1.0344,1.0193,1.0476,1.0198,1.0503,1.0204,1.0533
40,46.4050,1.1126,1.0818,1.0466,1.0481,1.0491,1.0496,1.0519,1.0513,1.0676,1.0677,1.0708,1.0693,1.0745,1.0709
45,52.1340,1.1381,1.0634,1.0507,1.0396,1.0541,1.0406,1.0580,1.0418,1.0840,1.0595,1.0889,1.0599,1.0945,1.0600
50,57.8630,1.0698,0.9658,0.9750,0.9539,0.9788,0.9544,0.9832,0.9549,1.0162,0.9721,1.0218,0.9712,1.0282,0.9699
55,63.5921,1.0973,0.9656,0.9900,0.9605,0.9944,0.9607,0.9994,0.9608,1.0398,0.9787,1.0464,0.9769,1.0539,0.9747
60,69.3211,1.0980,0.9516,0.9851,0.9510,0.9898,0.9510,0.9951,0.9508,1.0395,0.9688,1.0466,0.9665,1.0547,0.9636
65,75.0501,1.0317,0.8769,0.9147,0.8782,0.9196,0.8782,0.9252,0.8779,0.9709,0.8948,0.9786,0.8923,0.9873,0.8893
69,79.6333,1.0262,0.8640,0.9057,0.8670,0.9107,0.8669,0.9165,0.8666,0.9644,0.8834,0.9724,0.8807,0.9815,0.8775
