k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free,GC a=0.7 b=4 nugget0,GC a=0.7 b=4 nugget free
0,0.5729,3.6366,2.4145,1.5212,1.2834,1.6235,1.3518,1.7089,1.4082
1,1.7187,1.9167,1.5162,1.4817,1.3030,1.5159,1.3216,1.5425,1.3358
2,2.8645,0.8410,0.7453,0.8820,0.8071,0.8859,0.8070,0.8884,0.8065
3,4.0103,0.8403,0.8032,0.9887,0.9324,0.9859,0.9281,0.9830,0.9244
4,5.1561,0.7833,0.7885,0.9544,0.9204,0.9489,0.9152,0.9440,0.9108
5,6.3019,0.6201,0.6467,0.7635,0.7487,0.7578,0.7441,0.7529,0.7403
6,7.4477,0.7754,0.8295,0.9458,0.9399,0.9382,0.9346,0.9319,0.9303
7,8.5935,0.7224,0.7882,0.8705,0.8756,0.8632,0.8710,0.8573,0.8673
8,9.7393,0.7634,0.8443,0.9042,0.9182,0.8967,0.9140,0.8906,0.9107
9,10.8851,0.7496,0.8363,0.8741,0.8944,0.8670,0.8908,0.8613,0.8879
10,12.0309,0.7811,0.8777,0.8964,0.9237,0.8894,0.9205,0.8838,0.9179
11,13.1767,0.7414,0.8363,0.8395,0.8699,0.8331,0.8672,0.8279,0.8650
12,14.3225,0.8004,0.9043,0.8915,0.9269,0.8853,0.9247,0.8802,0.9229
13,15.4683,0.8825,0.9967,0.9688,1.0103,0.9625,1.0084,0.9574,1.0069
14,16.6141,0.8771,0.9903,0.9509,0.9946,0.9451,0.9931,0.9404,0.9919
15,17.7599,0.9002,1.0150,0.9644,1.0108,0.9589,1.0097,0.9544,1.0088
16,18.9057,0.9639,1.0843,1.0221,1.0728,1.0166,1.0720,1.0123,1.0713
17,20.0515,0.9359,1.0484,0.9824,1.0314,0.9776,1.0309,0.9738,1.0305
18,21.1974,0.9886,1.1025,1.0282,1.0793,1.0237,1.0792,1.0200,1.0790
19,22.3432,0.9247,1.0256,0.9536,1.0001,0.9497,1.0002,0.9467,1.0002
