k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
0,0.5729,3.6366,1.5212,1.6235,1.7089
1,1.7187,1.9167,1.4817,1.5159,1.5425
2,2.8645,0.8410,0.8820,0.8859,0.8884
3,4.0103,0.8403,0.9887,0.9859,0.9830
4,5.1561,0.7833,0.9544,0.9489,0.9440
5,6.3019,0.6201,0.7635,0.7578,0.7529
6,7.4477,0.7754,0.9458,0.9382,0.9319
7,8.5935,0.7224,0.8705,0.8632,0.8573
8,9.7393,0.7634,0.9042,0.8967,0.8906
9,10.8851,0.7496,0.8741,0.8670,0.8613
10,12.0309,0.7811,0.8964,0.8894,0.8838
11,13.1767,0.7414,0.8395,0.8331,0.8279
12,14.3225,0.8004,0.8915,0.8853,0.8802
13,15.4683,0.8825,0.9688,0.9625,0.9574
14,16.6141,0.8771,0.9509,0.9451,0.9404
15,17.7599,0.9002,0.9644,0.9589,0.9544
16,18.9057,0.9639,1.0221,1.0166,1.0123
17,20.0515,0.9359,0.9824,0.9776,0.9738
18,21.1974,0.9886,1.0282,1.0237,1.0200
19,22.3432,0.9247,0.9536,0.9497,0.9467
20,23.4890,1.0072,1.0316,1.0278,1.0248
21,24.6348,1.0330,1.0513,1.0479,1.0451
22,25.7806,1.0072,1.0187,1.0157,1.0133
23,26.9264,1.0103,1.0171,1.0144,1.0122
24,28.0722,0.9870,0.9885,0.9863,0.9845
25,29.2180,1.0360,1.0330,1.0310,1.0294
26,30.3638,1.0654,1.0578,1.0562,1.0548
27,31.5096,1.0715,1.0605,1.0591,1.0579
28,32.6554,1.0962,1.0818,1.0806,1.0797
29,33.8012,1.1090,1.0908,1.0900,1.0893
30,34.9470,1.0758,1.0554,1.0548,1.0544
31,36.0928,1.0657,1.0432,1.0429,1.0427
32,37.2386,1.1049,1.0793,1.0793,1.0793
33,38.3844,1.1451,1.1167,1.1169,1.1170
34,39.5302,1.1172,1.0881,1.0884,1.0887
35,40.6760,1.0763,1.0475,1.0480,1.0483
36,41.8218,1.0650,1.0349,1.0356,1.0362
37,42.9676,1.0793,1.0476,1.0485,1.0492
38,44.1134,1.0821,1.0495,1.0506,1.0514
39,45.2592,1.0795,1.0461,1.0473,1.0482
40,46.4050,1.0859,1.0520,1.0533,1.0543
41,47.5508,1.1020,1.0667,1.0682,1.0693
42,48.6966,1.0655,1.0309,1.0324,1.0336
43,49.8424,1.0965,1.0606,1.0622,1.0635
44,50.9882,1.1080,1.0720,1.0737,1.0750
45,52.1340,1.0635,1.0289,1.0306,1.0320
46,53.2798,1.0260,0.9927,0.9944,0.9957
47,54.4256,1.0553,1.0212,1.0230,1.0244
48,55.5714,1.0245,0.9917,0.9935,0.9950
49,56.7172,1.0312,0.9980,0.9999,1.0014
50,57.8630,0.9919,0.9602,0.9621,0.9636
51,59.0088,1.0254,0.9925,0.9945,0.9961
52,60.1546,1.0116,0.9794,0.9814,0.9830
53,61.3005,1.0212,0.9887,0.9908,0.9924
54,62.4463,1.0198,0.9874,0.9895,0.9912
55,63.5921,1.0056,0.9737,0.9759,0.9776
56,64.7379,0.9917,0.9603,0.9624,0.9641
57,65.8837,1.0090,0.9770,0.9792,0.9810
58,67.0295,0.9579,0.9281,0.9302,0.9318
59,68.1753,0.9768,0.9463,0.9485,0.9502
60,69.3211,0.9705,0.9403,0.9426,0.9443
61,70.4669,1.0117,0.9803,0.9826,0.9845
62,71.6127,0.9578,0.9278,0.9300,0.9318
63,72.7585,0.9644,0.9335,0.9359,0.9377
64,73.9043,0.9541,0.9234,0.9258,0.9277
65,75.0501,0.9345,0.9045,0.9068,0.9087
66,76.1959,0.9275,0.8977,0.9001,0.9020
67,77.3417,0.9583,0.9275,0.9300,0.9320
68,78.4875,0.9269,0.8971,0.8996,0.9015
69,79.6333,0.9552,0.9244,0.9270,0.9290
