k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0,GC a=0.7 b=1 nugget0
0,0.5729,3.7018,1.6258,1.3937,1.0989
1,1.7187,1.9871,1.5582,1.4612,1.3093
2,2.8645,0.9552,0.9938,0.9723,0.9278
3,4.0103,0.8680,1.0170,1.0149,0.9986
4,5.1561,0.8767,1.0763,1.0838,1.0819
5,6.3019,0.7279,0.9154,0.9276,0.9362
10,12.0309,0.7031,0.8598,0.8770,0.8979
15,17.7599,0.9387,1.0729,1.0910,1.1145
20,23.4890,0.9600,1.0346,1.0470,1.0636
25,29.2180,0.9881,1.0206,1.0278,1.0376
30,34.9470,0.9885,0.9895,0.9922,0.9958
35,40.6760,1.0293,1.0101,1.0097,1.0089
40,46.4050,1.0783,1.0441,1.0411,1.0364
45,52.1340,1.0430,1.0022,0.9976,0.9909
50,57.8630,1.0600,1.0140,1.0082,0.9996
55,63.5921,1.0685,1.0186,1.0118,1.0017
60,69.3211,0.9600,0.9136,0.9070,0.8972
65,75.0501,0.9875,0.9354,0.9278,0.9165
69,79.6333,0.9441,0.8928,0.8851,0.8736
