k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.8 b=0.4 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.2 nugget0,GC a=0.85 b=0.4 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.2 nugget0
0,0.5729,5.1977,1.9285,1.6901,1.4566,2.2198,1.9175,1.6276
1,1.7187,1.1182,0.9547,0.8825,0.8049,1.0628,0.9729,0.8781
2,2.8645,0.6466,0.7617,0.7260,0.6845,0.8238,0.7805,0.7308
3,4.0103,0.6499,0.8184,0.7929,0.7613,0.8671,0.8369,0.7999
4,5.1561,0.6754,0.8418,0.8221,0.7966,0.8802,0.8577,0.8284
5,6.3019,0.7743,0.9436,0.9283,0.9071,0.9749,0.9579,0.9342
6,7.4477,0.7604,0.8934,0.8815,0.8642,0.9160,0.9034,0.8847
7,8.5935,0.7836,0.8958,0.8873,0.8741,0.9111,0.9026,0.8888
8,9.7393,0.8133,0.9023,0.8956,0.8843,0.9126,0.9064,0.8950
9,10.8851,0.8713,0.9481,0.9426,0.9328,0.9549,0.9502,0.9407
10,12.0309,0.8667,0.9227,0.9190,0.9116,0.9250,0.9224,0.9156
11,13.1767,0.8920,0.9370,0.9355,0.9308,0.9348,0.9346,0.9309
12,14.3225,0.9462,0.9767,0.9738,0.9673,0.9748,0.9733,0.9679
13,15.4683,1.0436,1.0620,1.0596,1.0538,1.0575,1.0568,1.0522
14,16.6141,1.0139,1.0196,1.0179,1.0132,1.0133,1.0133,1.0099
15,17.7599,1.0230,1.0184,1.0171,1.0130,1.0106,1.0111,1.0084
16,18.9057,1.0628,1.0502,1.0492,1.0456,1.0411,1.0419,1.0398
17,20.0515,1.0121,0.9928,0.9923,0.9895,0.9832,0.9844,0.9830
18,21.1974,1.0599,1.0327,1.0319,1.0288,1.0227,1.0236,1.0220
19,22.3432,1.1425,1.1080,1.1072,1.1042,1.0969,1.0980,1.0965
20,23.4890,1.1119,1.0741,1.0734,1.0707,1.0632,1.0642,1.0630
21,24.6348,1.1284,1.0872,1.0866,1.0840,1.0763,1.0773,1.0762
22,25.7806,1.0780,1.0357,1.0352,1.0332,1.0252,1.0262,1.0255
23,26.9264,1.0548,1.0154,1.0158,1.0150,1.0046,1.0064,1.0068
24,28.0722,1.1528,1.1070,1.1062,1.1038,1.0972,1.0978,1.0967
25,29.2180,1.0966,1.0524,1.0514,1.0490,1.0439,1.0441,1.0429
26,30.3638,1.2077,1.1589,1.1575,1.1546,1.1507,1.1505,1.1488
27,31.5096,1.0832,1.0401,1.0390,1.0366,1.0331,1.0330,1.0317
