k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
0,0.5729,5.1977,2.9873,3.1174,3.2237
1,1.7187,1.1182,1.0533,1.0660,1.0754
2,2.8645,0.6466,0.7416,0.7414,0.7407
3,4.0103,0.6499,0.7704,0.7672,0.7642
4,5.1561,0.6754,0.7898,0.7856,0.7820
5,6.3019,0.7743,0.8855,0.8804,0.8761
10,12.0309,0.8667,0.9003,0.8963,0.8931
15,17.7599,1.0230,1.0180,1.0151,1.0128
20,23.4890,1.1119,1.0862,1.0844,1.0831
25,29.2180,1.0966,1.0665,1.0658,1.0652
30,34.9470,1.1051,1.0765,1.0765,1.0766
35,40.6760,1.0859,1.0629,1.0634,1.0638
40,46.4050,1.0625,1.0451,1.0460,1.0467
45,52.1340,1.0077,0.9952,0.9962,0.9971
50,57.8630,1.0078,0.9995,1.0007,1.0016
55,63.5921,0.9256,0.9208,0.9220,0.9230
60,69.3211,0.9228,0.9200,0.9213,0.9223
65,75.0501,0.8350,0.8351,0.8363,0.8373
69,79.6333,0.8617,0.8634,0.8648,0.8659
