model_variant,frac_index,scaled_cumsum_mean,scaled_cumsum_sd,n_days,n_scores_mean,residual_df_mean
matern_s05_n0,0.005000,0.006507,,1,141301.000000,141292.000000
matern_s05_n0,0.010000,0.011919,,1,141301.000000,141292.000000
matern_s05_n0,0.015000,0.016739,,1,141301.000000,141292.000000
matern_s05_n0,0.020000,0.022014,,1,141301.000000,141292.000000
matern_s05_n0,0.025000,0.026377,,1,141301.000000,141292.000000
matern_s05_n0,0.030000,0.031165,,1,141301.000000,141292.000000
matern_s05_n0,0.035000,0.035729,,1,141301.000000,141292.000000
matern_s05_n0,0.040000,0.039964,,1,141301.000000,141292.000000
matern_s05_n0,0.045000,0.044729,,1,141301.000000,141292.000000
matern_s05_n0,0.050000,0.049068,,1,141301.000000,141292.000000
matern_s05_n0,0.055000,0.053235,,1,141301.000000,141292.000000
matern_s05_n0,0.060000,0.057704,,1,141301.000000,141292.000000
matern_s05_n0,0.065000,0.061667,,1,141301.000000,141292.000000
matern_s05_n0,0.070000,0.066181,,1,141301.000000,141292.000000
matern_s05_n0,0.075000,0.070693,,1,141301.000000,141292.000000
matern_s05_n0,0.080000,0.074979,,1,141301.000000,141292.000000
matern_s05_n0,0.085000,0.079281,,1,141301.000000,141292.000000
matern_s05_n0,0.090000,0.083524,,1,141301.000000,141292.000000
matern_s05_n0,0.095000,0.087773,,1,141301.000000,141292.000000
matern_s05_n0,0.100000,0.091867,,1,141301.000000,141292.000000
matern_s05_n0,0.105000,0.096103,,1,141301.000000,141292.000000
matern_s05_n0,0.110000,0.100080,,1,141301.000000,141292.000000
matern_s05_n0,0.115000,0.104052,,1,141301.000000,141292.000000
matern_s05_n0,0.120000,0.108231,,1,141301.000000,141292.000000
matern_s05_n0,0.125000,0.112546,,1,141301.000000,141292.000000
matern_s05_n0,0.130000,0.116554,,1,141301.000000,141292.000000
matern_s05_n0,0.135000,0.120618,,1,141301.000000,141292.000000
matern_s05_n0,0.140000,0.124676,,1,141301.000000,141292.000000
matern_s05_n0,0.145000,0.128975,,1,141301.000000,141292.000000
matern_s05_n0,0.150000,0.133427,,1,141301.000000,141292.000000
matern_s05_n0,0.155000,0.137625,,1,141301.000000,141292.000000
matern_s05_n0,0.160000,0.141994,,1,141301.000000,141292.000000
matern_s05_n0,0.165000,0.146143,,1,141301.000000,141292.000000
matern_s05_n0,0.170000,0.150262,,1,141301.000000,141292.000000
matern_s05_n0,0.175000,0.154024,,1,141301.000000,141292.000000
matern_s05_n0,0.180000,0.158330,,1,141301.000000,141292.000000
matern_s05_n0,0.185000,0.162663,,1,141301.000000,141292.000000
matern_s05_n0,0.190000,0.167170,,1,141301.000000,141292.000000
matern_s05_n0,0.195000,0.171368,,1,141301.000000,141292.000000
matern_s05_n0,0.200000,0.175652,,1,141301.000000,141292.000000
matern_s05_n0,0.205000,0.180016,,1,141301.000000,141292.000000
matern_s05_n0,0.210000,0.184223,,1,141301.000000,141292.000000
matern_s05_n0,0.215000,0.188537,,1,141301.000000,141292.000000
matern_s05_n0,0.220000,0.192764,,1,141301.000000,141292.000000
matern_s05_n0,0.225000,0.196801,,1,141301.000000,141292.000000
matern_s05_n0,0.230000,0.201000,,1,141301.000000,141292.000000
matern_s05_n0,0.235000,0.205742,,1,141301.000000,141292.000000
matern_s05_n0,0.240000,0.210352,,1,141301.000000,141292.000000
matern_s05_n0,0.245000,0.214439,,1,141301.000000,141292.000000
matern_s05_n0,0.250000,0.218937,,1,141301.000000,141292.000000
matern_s05_n0,0.255000,0.223777,,1,141301.000000,141292.000000
matern_s05_n0,0.260000,0.227877,,1,141301.000000,141292.000000
matern_s05_n0,0.265000,0.232351,,1,141301.000000,141292.000000
matern_s05_n0,0.270000,0.236629,,1,141301.000000,141292.000000
matern_s05_n0,0.275000,0.240915,,1,141301.000000,141292.000000
matern_s05_n0,0.280000,0.245295,,1,141301.000000,141292.000000
matern_s05_n0,0.285000,0.249738,,1,141301.000000,141292.000000
matern_s05_n0,0.290000,0.253960,,1,141301.000000,141292.000000
matern_s05_n0,0.295000,0.258339,,1,141301.000000,141292.000000
matern_s05_n0,0.300000,0.262727,,1,141301.000000,141292.000000
matern_s05_n0,0.305000,0.266939,,1,141301.000000,141292.000000
matern_s05_n0,0.310000,0.271496,,1,141301.000000,141292.000000
matern_s05_n0,0.315000,0.276130,,1,141301.000000,141292.000000
matern_s05_n0,0.320000,0.280227,,1,141301.000000,141292.000000
matern_s05_n0,0.325000,0.284871,,1,141301.000000,141292.000000
matern_s05_n0,0.330000,0.289723,,1,141301.000000,141292.000000
matern_s05_n0,0.335000,0.294391,,1,141301.000000,141292.000000
matern_s05_n0,0.340000,0.298917,,1,141301.000000,141292.000000
matern_s05_n0,0.345000,0.304071,,1,141301.000000,141292.000000
matern_s05_n0,0.350000,0.308526,,1,141301.000000,141292.000000
matern_s05_n0,0.355000,0.312659,,1,141301.000000,141292.000000
matern_s05_n0,0.360000,0.317570,,1,141301.000000,141292.000000
matern_s05_n0,0.365000,0.321973,,1,141301.000000,141292.000000
matern_s05_n0,0.370000,0.326706,,1,141301.000000,141292.000000
matern_s05_n0,0.375000,0.331502,,1,141301.000000,141292.000000
matern_s05_n0,0.380000,0.336767,,1,141301.000000,141292.000000
matern_s05_n0,0.385000,0.341410,,1,141301.000000,141292.000000
matern_s05_n0,0.390000,0.345432,,1,141301.000000,141292.000000
matern_s05_n0,0.395000,0.349752,,1,141301.000000,141292.000000
matern_s05_n0,0.400000,0.354110,,1,141301.000000,141292.000000
matern_s05_n0,0.405000,0.358421,,1,141301.000000,141292.000000
matern_s05_n0,0.410000,0.363092,,1,141301.000000,141292.000000
matern_s05_n0,0.415000,0.367704,,1,141301.000000,141292.000000
matern_s05_n0,0.420000,0.372291,,1,141301.000000,141292.000000
matern_s05_n0,0.425000,0.376997,,1,141301.000000,141292.000000
matern_s05_n0,0.430000,0.381516,,1,141301.000000,141292.000000
matern_s05_n0,0.435000,0.385942,,1,141301.000000,141292.000000
matern_s05_n0,0.440000,0.390665,,1,141301.000000,141292.000000
matern_s05_n0,0.445000,0.395543,,1,141301.000000,141292.000000
matern_s05_n0,0.450000,0.400195,,1,141301.000000,141292.000000
matern_s05_n0,0.455000,0.404703,,1,141301.000000,141292.000000
matern_s05_n0,0.460000,0.409379,,1,141301.000000,141292.000000
