dataset_id,data_kind,date,evaluation_geometry,source_fit,nll_per_target,evaluation_precompute_s
synthetic_20250706,synthetic,2025-07-06,union,union,1.1353613931199462,1.6029738339711912
synthetic_20250706,synthetic,2025-07-06,union,adapted,1.135363870541522,1.6029738339711912
synthetic_20250706,synthetic,2025-07-06,union,shifted,1.1353642278940776,1.6029738339711912
synthetic_20250706,synthetic,2025-07-06,union,fixed,1.1357274858920214,1.6029738339711912
synthetic_20250706,synthetic,2025-07-06,union,truth,1.2083285640350374,1.6029738339711912
synthetic_20250706,synthetic,2025-07-06,adapted,union,1.1361124051141844,1.1869483329937793
synthetic_20250706,synthetic,2025-07-06,adapted,adapted,1.1361101616964755,1.1869483329937793
synthetic_20250706,synthetic,2025-07-06,adapted,shifted,1.1361103296916468,1.1869483329937793
synthetic_20250706,synthetic,2025-07-06,adapted,fixed,1.136494482523286,1.1869483329937793
synthetic_20250706,synthetic,2025-07-06,adapted,truth,1.2090659148545397,1.1869483329937793
synthetic_20250706,synthetic,2025-07-06,shifted,union,1.1359844956590839,0.5150788750033826
synthetic_20250706,synthetic,2025-07-06,shifted,adapted,1.135982000897164,0.5150788750033826
synthetic_20250706,synthetic,2025-07-06,shifted,shifted,1.1359818237248331,0.5150788750033826
synthetic_20250706,synthetic,2025-07-06,shifted,fixed,1.136372700196918,0.5150788750033826
synthetic_20250706,synthetic,2025-07-06,shifted,truth,1.2089447513907712,0.5150788750033826
synthetic_20250706,synthetic,2025-07-06,fixed,union,1.1433871302131504,0.38800749997608364
synthetic_20250706,synthetic,2025-07-06,fixed,adapted,1.1434058030124132,0.38800749997608364
synthetic_20250706,synthetic,2025-07-06,fixed,shifted,1.1434028231859126,0.38800749997608364
synthetic_20250706,synthetic,2025-07-06,fixed,fixed,1.1431758279873867,0.38800749997608364
synthetic_20250706,synthetic,2025-07-06,fixed,truth,1.2154542908716326,0.38800749997608364
