frac_index,scaled_cumsum,scaled_expected,conditional_eigenvalue,dataset_id,data_kind,date,geometry
0.002,0.0030576089268642397,0.002,50.93327886913809,synthetic_20240713,synthetic,2024-07-13,shifted
0.004,0.005111209936711284,0.004,39.47293754957283,synthetic_20240713,synthetic,2024-07-13,shifted
0.006,0.007486174524691451,0.006,37.68885991232945,synthetic_20240713,synthetic,2024-07-13,shifted
0.008,0.009593570800552184,0.008,37.50087301506076,synthetic_20240713,synthetic,2024-07-13,shifted
0.01,0.011574469006062479,0.01,37.340180002892126,synthetic_20240713,synthetic,2024-07-13,shifted
0.012,0.013884154389076633,0.012,36.23974887004379,synthetic_20240713,synthetic,2024-07-13,shifted
0.014,0.01605562663918568,0.014,34.93652385682718,synthetic_20240713,synthetic,2024-07-13,shifted
0.016,0.018026471500336316,0.016,33.900035447864944,synthetic_20240713,synthetic,2024-07-13,shifted
0.018000000000000002,0.020055937401382142,0.018000000000000002,32.64708754315382,synthetic_20240713,synthetic,2024-07-13,shifted
0.020000000000000004,0.02188977080710829,0.020000000000000004,32.21528466762525,synthetic_20240713,synthetic,2024-07-13,shifted
0.022,0.02392902948218162,0.022,30.64663501835256,synthetic_20240713,synthetic,2024-07-13,shifted
0.024,0.026017283253076735,0.024,28.571885094742946,synthetic_20240713,synthetic,2024-07-13,shifted
0.026000000000000002,0.0276987059739943,0.026000000000000002,27.283521554436867,synthetic_20240713,synthetic,2024-07-13,shifted
0.028000000000000004,0.02970537927505759,0.028000000000000004,26.10693569745064,synthetic_20240713,synthetic,2024-07-13,shifted
0.03,0.031356475966811626,0.03,24.69150221267595,synthetic_20240713,synthetic,2024-07-13,shifted
0.032,0.033427564725524515,0.032,24.24073980013033,synthetic_20240713,synthetic,2024-07-13,shifted
0.034,0.035027831175970144,0.034,23.415544811853547,synthetic_20240713,synthetic,2024-07-13,shifted
0.036000000000000004,0.03663721990345953,0.036000000000000004,21.841739325267095,synthetic_20240713,synthetic,2024-07-13,shifted
0.038000000000000006,0.0383270940942876,0.038000000000000006,21.089531901753787,synthetic_20240713,synthetic,2024-07-13,shifted
0.04,0.039898420790717,0.04,20.871175813970396,synthetic_20240713,synthetic,2024-07-13,shifted
0.042,0.041856753076327254,0.042,20.76947169254117,synthetic_20240713,synthetic,2024-07-13,shifted
0.044000000000000004,0.04353003534072414,0.044000000000000004,20.44139947676595,synthetic_20240713,synthetic,2024-07-13,shifted
0.046,0.04512076341927272,0.046,19.975735976243563,synthetic_20240713,synthetic,2024-07-13,shifted
0.048,0.04720908329164212,0.048,19.13747801878713,synthetic_20240713,synthetic,2024-07-13,shifted
0.05,0.0489046970658943,0.05,18.2454039146711,synthetic_20240713,synthetic,2024-07-13,shifted
0.052000000000000005,0.05059429733260462,0.052000000000000005,17.84754243894215,synthetic_20240713,synthetic,2024-07-13,shifted
