handedness,time_k,time_l,candidate_center_count,center_latitude,center_longitude,q_a,q_b,contrast_l,joint_variance_l,separable_variance_l,joint_h_aa,joint_h_bb,joint_h_ab,separable_h_aa,separable_h_bb,separable_h_ab,maximum_grid_error_standardized,maximum_source_error_standardized
clockwise,0,1,18126,-1.344000000000003,123.12500000000149,1.9065515215033435,-8.1208047506867747,-0.95216030176151034,1.3798091585634857,1.7453743415340943,28.183493995102289,28.217399573607093,0.39370142197033964,29.136597252744998,28.757724033439914,7.2200983337922118,0.025390914898638726,0.032757969534539376
clockwise,0,1,18126,-1.344000000000003,123.18800000000148,-3.4256915156862435,0.25335962525479516,-0.49754094838080071,1.3798117989531495,1.7441158362142506,28.183229620787046,28.217696222150522,0.39374471632871799,29.109589606550493,28.733305442205484,7.2197531064955971,0.025390914898638726,0.033912565170843408
clockwise,0,1,18126,-1.344000000000003,123.25100000000147,-0.40307594346619546,1.0972224304260632,0.10586281874175668,1.3798109022663352,1.7454952062226754,28.183141172537653,28.217840312954383,0.39370025837813127,29.136747788176919,28.763678502866952,7.219599153052485,0.025390914898638726,0.034158179151653166
clockwise,0,1,18126,-1.344000000000003,123.31400000000146,-2.3795858018245366,-0.42922046525100499,-0.43882239542725077,1.3798593657727471,1.7464061807137266,28.185540670224626,28.217302031467959,0.39374931114466882,29.169413015616655,28.768907851111692,7.2192996996450098,0.025390914898638726,0.035560488033569884
clockwise,0,1,18126,-1.344000000000003,123.37700000000144,-11.337040473675559,-0.64024781406086073,-1.8743256981302563,1.3798616707838984,1.7469922091639962,28.186335970952861,28.216587040534456,0.39374424679295617,29.188293102565005,28.774852278556853,7.218923100756923,0.025390914898638726,0.036347712331060752
clockwise,0,1,18126,-1.344000000000003,123.44000000000143,-9.7176769599520085,-2.8645069258161877,-1.9632705624569631,1.3798608173124389,1.7474763142377439,28.186923809342495,28.215899074851194,0.39376591946416362,29.203256637518173,28.780001504456504,7.2188164536080102,0.025390914898638726,0.036778061613678553
clockwise,0,1,18126,-1.344000000000003,123.50300000000142,-7.7024031244068984,-4.0305654326100067,-1.8272181129313441,1.3798523963047209,1.7459287133859329,28.187091381429909,28.215298599308476,0.39380142146592112,29.175987061400942,28.743941970694358,7.2183362105937929,0.025390914898638726,0.038090102109486726
clockwise,0,1,18126,-1.344000000000003,123.56600000000141,-11.257104410703713,-1.738158868195931,-2.030907775042647,1.3798073733707672,1.7444832055441755,28.186453751735904,28.213984177449941,0.39383876133396223,29.148087785625926,28.711969377662989,7.2182826679692162,0.025390914898638726,0.038373502856570312
clockwise,0,1,18126,-1.344000000000003,123.6290000000014,-4.211652595991457,-6.9183893700827381,-1.7252523680543463,1.3798280251680486,1.7446580224182717,28.187271407716921,28.213943101302689,0.39387123639318711,29.156184543897375,28.711702300641257,7.2179203135702839,0.025390914898638726,0.03918171980198612
clockwise,0,1,18126,-1.344000000000003,123.69200000000139,-6.1027199580154265,-4.3628292031455222,-1.6278366678610456,1.3798146893691408,1.7446498037621008,28.186324433416601,28.214424631208004,0.3938395852508445,29.150854065577356,28.718169868538915,7.2172803815221691,0.025390914898638726,0.040258642640954467
clockwise,0,1,18126,-1.344000000000003,123.75500000000137,-4.4049119921915061,4.3559252620398592,-0.019030433766097143,1.379860053379498,1.746954007462497,28.186419615542114,28.216251634764106,0.39383310541236494,29.191009660012558,28.773611946652171,7.2173599040063277,0.025390914898638726,0.040535745593659078
clockwise,0,1,18126,-1.344000000000003,123.81800000000136,-3.6878833695964137,5.4738117353459614,0.26545637072603046,1.3798513799153287,1.7461319241825621,28.184748991992954,28.217616662450887,0.3938316403068054,29.162220312105461,28.769815852883511,7.2168262667046488,0.025390914898638726,0.041847786089467251
clockwise,0,1,18126,-1.344000000000003,123.88100000000135,-2.4452240519928461,3.3282083245106273,0.12962327171942711,1.3798610665399362,1.7465628916892326,28.183655659487858,28.219132393690408,0.39384307589670886,29.160101701891925,28.790757603474866,7.2165391431079797,0.025390914898638726,0.042383098611754481
clockwise,0,1,18126,-1.344000000000003,123.94400000000134,0.062911263142764406,8.4503811042573265,1.311398007205786,1.3798684674347281,1.7462965954053593,28.182840455514075,28.220248384622337,0.39386226205476049,29.146967894335752,28.793580058092878,7.2163102421846039,0.025390914898638726,0.04340649019847919
clockwise,0,1,18126,-1.344000000000003,124.00700000000133,-4.1926427006434377,-0.063965008817891356,-0.66654298907604814,1.3798372805251236,1.7456526371654428,28.182850164492777,28.21895285841974,0.39384792726572471,29.139809481201837,28.774975404311675,7.2157508738763019,0.025390914898638726,0.044131786184559429
clockwise,0,1,18126,-1.344000000000003,124.07000000000131,2.0840894360480657,0.42990163222826228,0.39264390131950322,1.3885407469154887,1.8320750650500739,28.538390606116753,28.219327218412133,0.39327169825513364,32.681219349356667,28.77556591348144,7.2059654489823792,0.025390914898638726,0.049100745947569829
clockwise,0,1,18126,-1.344000000000003,124.1330000000013,-0.15936188966174947,-6.2234311733158227,-0.98350581581788843,1.3885770036273817,1.8322000993640786,28.540867027703463,28.218182338924365,0.39332689069158278,32.696045671626607,28.766610567169131,7.2054213785306622,0.025390914898638726,0.0489433010880806
clockwise,0,1,18126,-1.344000000000003,124.19600000000129,4.615504584246616,-1.8126194482777092,0.44374036314015974,1.388467685701076,1.8318685417567784,28.539020179248116,28.21553022240499,0.39330421434946405,32.698527192864972,28.750615522737995,7.2051521588763148,0.025390914898638726,0.048407988565808288
clockwise,0,1,18126,-1.344000000000003,124.25900000000128,5.5265823576371851,-6.0345910312727362,-0.063834437748985007,1.3884948368770269,1.8323670661962455,28.540896546909842,28.215041513976061,0.39315316819264945,32.710066938491593,28.760841095300115,7.2045893212010439,0.025390914898638726,0.048397492241853281
clockwise,0,1,18126,-1.344000000000003,124.32200000000127,-1.5994735112236813,3.0546879515102727,0.21996449992380143,1.3884638770356177,1.8324771630564878,28.53758617137381,28.21687610568933,0.3932926789590292,32.691562965192865,28.783678306713316,7.2050512732073848,0.025390914898638726,0.04819806208915435
clockwise,0,1,18126,-1.344000000000003,124.38500000000126,-2.3697803707442775,-0.70904977037170536,-0.48038643485137561,1.3884627607252824,1.8322574714113933,28.538053026562963,28.216392499247544,0.39326994106162116,32.691373716972954,28.774951369203023,7.2048850141949057,0.025390914898638726,0.048722878287471648
clockwise,0,1,18126,-1.344000000000003,124.44800000000124,-2.7214249408016822,5.5485558668722375,0.42834438044534079,1.3847566953993911,1.7385175716824066,28.071554544810176,28.546014583242261,0.39158870363971765,27.171806689136787,30.481807967354467,7.2293198544317478,0.025390914898638726,0.048748514972635888
clockwise,0,1,18126,-1.344000000000003,124.95200000000115,-3.5291016969035249,-10.571010799268645,-2.1809287623436844,1.3764998364209953,1.6917760452230983,28.069535734233561,28.22028213111102,0.38163905404866894,27.068154947447454,28.750291547015649,7.1646070986323256,0.025390914898638726,0.046386842080252774
clockwise,0,1,18126,-1.344000000000003,125.01500000000114,-6.1934757260577564,3.5459837306539042,-0.42392082130433284,1.3765125628314825,1.692252774556096,28.069861954021981,28.220682328047733,0.38154018224580577,27.089878958434269,28.748620209776014,7.1642636315818109,0.025390914898638726,0.047568282651018458
clockwise,0,1,18126,-1.344000000000003,125.07800000000113,-13.611519677318139,-2.6317126149846053,-2.5373052473333564,1.3765652824207875,1.6928414508631326,28.069345965907605,28.223412734326331,0.38155273008911417,27.062776773153502,28.801593947003646,7.1641990539500444,0.025390914898638726,0.047977639285711325
clockwise,0,1,18126,-1.344000000000003,125.14100000000111,-2.4383784549411254,0.55957625255626198,-0.29573464349536288,1.3846765620161585,1.7771814992424368,28.400522876551605,28.22248650191068,0.3817303340198448,30.493448109144474,28.788155218139501,7.174458811611796,0.025390914898638726,0.045775065007242356
clockwise,0,1,18126,-1.344000000000003,125.2040000000011,-1.2958906943487996,4.7348125070150484,0.52629056059996071,1.3847147280909786,1.7778210215862988,28.400911977812171,28.223573137542353,0.38178924432080796,30.506648838813696,28.801574487592305,7.1744034705921411,0.025390914898638726,0.046681947397933701
clockwise,0,1,18126,-1.344000000000003,125.26700000000109,1.0150798717015908,0.90728822134991427,0.29873362760631328,1.3847766439573295,1.7784748433336535,28.403374480816957,28.223812895302849,0.38170253026913192,30.520677187610598,28.815140162379791,7.1741516991752601,0.025390914898638726,0.047736827956568188
clockwise,0,1,18126,-1.344000000000003,125.33000000000108,3.4422000387390201,1.6540488001412177,0.79390945107188271,1.3766230328847824,1.69440259134532,28.069140078792437,28.224353391764097,0.38239184965695827,27.068550857410564,28.820403567184481,7.1843709881211506,0.025390914898638726,0.044046161835779682
clockwise,0,1,18126,-1.344000000000003,125.39300000000107,0.53505375846856307,6.8405873203356276,1.1374057945472198,1.3766287498777758,1.6948507072766616,28.069573573930985,28.224039720091405,0.38244414783658165,27.090719092411121,28.816626881144487,7.1842437599606317,0.025390914898638726,0.043584323581267022
clockwise,0,1,18126,-1.344000000000003,125.45600000000105,0.28923686029491336,5.54523815699996,0.8993914330170083,1.3766123703263689,1.693862739742876,28.06906707034582,28.223956821675053,0.38240296453778155,27.06233327797969,28.805545983496351,7.1836486006169,0.025390914898638726,0.043038514735009865
clockwise,0,1,18126,-1.344000000000003,125.51900000000104,6.6604059718494399,-6.9115772354416656,-0.021319496129361459,1.3766234060021141,1.693864227422786,28.069272986496699,28.224173779293558,0.38242031525834319,27.075070565519265,28.791975840218377,7.1838750974869825,0.025390914898638726,0.042566180156527272
clockwise,0,1,18126,-1.344000000000003,125.58200000000103,5.5085973100994305,4.9243260461488454,1.6212624574716716,1.376638206544929,1.6949150367592927,28.069697893756071,28.224386562745742,0.38240639953172595,27.098679696102014,28.812460686776245,7.1835777850272589,0.025390914898638726,0.042135830873909472
clockwise,0,1,18126,-1.344000000000003,125.64500000000102,-0.03701825110525947,1.8475528414628579,0.27876556360459326,1.3795069319873245,1.746125166066534,28.178218847993946,28.223686627028826,0.38702852116633224,29.10526107734858,28.825628814657403,7.2182060197520972,0.025390914898638726,0.041869224245174787
clockwise,0,1,18126,-1.344000000000003,127.97600000000058,1.9861142176967554,0.12721509289942423,0.33067773097833358,1.3766090450837636,1.70845574398485,28.185542467735836,28.085401173154509,0.39123500933641253,29.145365131357924,27.153399128923496,7.239276525573926,0.025390914898638726,0.033975543113693413
