frac_index,scaled_cumulative_mean,scaled_cumulative_sd,n_dates,data_kind,method
0.001,0.02379815999,0.01680455743,5,real,adapted
0.002,0.04754679785,0.01691066035,5,real,adapted
0.003,0.06172447451,0.01700444106,5,real,adapted
0.004,0.07271054931,0.01694788682,5,real,adapted
0.005,0.07845513536,0.01768761638,5,real,adapted
0.006,0.08715794476,0.0195803828,5,real,adapted
0.007,0.09341783909,0.01518918713,5,real,adapted
0.008,0.1011652237,0.01764829068,5,real,adapted
0.009,0.1074722818,0.01415717742,5,real,adapted
0.01,0.1115723715,0.013974402,5,real,adapted
0.011,0.1141711047,0.01383049424,5,real,adapted
0.012,0.1186851791,0.01313408116,5,real,adapted
0.013,0.1235779022,0.01346032033,5,real,adapted
0.014,0.1279011925,0.01421244842,5,real,adapted
0.015,0.131694265,0.01490641288,5,real,adapted
0.016,0.13443364,0.01503747912,5,real,adapted
0.017,0.1375417661,0.01463699202,5,real,adapted
0.018,0.140363692,0.01524543761,5,real,adapted
0.019,0.1420006566,0.01503578892,5,real,adapted
0.02,0.1458544393,0.01620321869,5,real,adapted
0.021,0.1483231034,0.01604979293,5,real,adapted
0.022,0.1527919439,0.01693427067,5,real,adapted
0.023,0.1542890467,0.01669056098,5,real,adapted
0.024,0.1571381457,0.0159899656,5,real,adapted
0.025,0.15910392,0.01687638573,5,real,adapted
0.026,0.1632992465,0.01786027872,5,real,adapted
0.027,0.1651415358,0.01728854826,5,real,adapted
0.028,0.1694995233,0.01541900355,5,real,adapted
0.029,0.1712625807,0.0154632264,5,real,adapted
0.03,0.1725930898,0.01479517219,5,real,adapted
0.031,0.1743493052,0.01452665504,5,real,adapted
0.032,0.1770530247,0.014385323,5,real,adapted
0.033,0.1790660746,0.01328444197,5,real,adapted
0.034,0.180482834,0.01355069759,5,real,adapted
0.035,0.1826529517,0.01423030874,5,real,adapted
0.036,0.1848050609,0.01524133571,5,real,adapted
0.037,0.1869800145,0.01515599351,5,real,adapted
0.038,0.1888784166,0.01461364849,5,real,adapted
0.039,0.191174086,0.01503135708,5,real,adapted
0.04,0.1920564026,0.01513877763,5,real,adapted
0.041,0.1936058613,0.01546832681,5,real,adapted
0.042,0.1963138972,0.01632749317,5,real,adapted
0.043,0.1993075432,0.0167074204,5,real,adapted
0.044,0.2008681708,0.0177999479,5,real,adapted
0.045,0.202563707,0.01760010639,5,real,adapted
0.046,0.2044190207,0.01719989447,5,real,adapted
0.047,0.2051416746,0.01753177147,5,real,adapted
0.048,0.2064719542,0.01742220771,5,real,adapted
0.049,0.2075235253,0.01781277242,5,real,adapted
0.05,0.2089300279,0.01750624594,5,real,adapted
0.051,0.2105913199,0.01796495867,5,real,adapted
0.052,0.2118683525,0.01801242991,5,real,adapted
0.053,0.2123928271,0.01806943311,5,real,adapted
0.054,0.2138166904,0.01867887809,5,real,adapted
0.055,0.2152892337,0.01954396729,5,real,adapted
0.056,0.2165782013,0.01901524786,5,real,adapted
0.057,0.2176260728,0.01933021214,5,real,adapted
0.058,0.2183739349,0.01914655175,5,real,adapted
0.059,0.2192576805,0.01826983812,5,real,adapted
0.06,0.2205207618,0.01871359358,5,real,adapted
0.061,0.2219488753,0.01853215842,5,real,adapted
0.062,0.2235976329,0.01870103194,5,real,adapted
0.063,0.2249104601,0.01912966157,5,real,adapted
0.064,0.2260148029,0.01889601916,5,real,adapted
0.065,0.2276831238,0.01905761022,5,real,adapted
0.066,0.2300488635,0.01888022636,5,real,adapted
0.067,0.2322070659,0.01873797041,5,real,adapted
0.068,0.2330768321,0.01866215354,5,real,adapted
0.069,0.2343446205,0.01789064926,5,real,adapted
0.07,0.2362407403,0.01895753491,5,real,adapted
0.071,0.2374408433,0.01967477876,5,real,adapted
0.072,0.2394426088,0.01955728815,5,real,adapted
0.073,0.240911078,0.01990697993,5,real,adapted
0.074,0.2420050529,0.02032805883,5,real,adapted
0.075,0.2433134388,0.02070391913,5,real,adapted
0.076,0.2447122723,0.02087268564,5,real,adapted
0.077,0.2454451651,0.02079394406,5,real,adapted
0.078,0.2470780051,0.02165308305,5,real,adapted
0.079,0.2488359758,0.02306144716,5,real,adapted
0.08,0.2505901949,0.02367226539,5,real,adapted
0.081,0.2517217957,0.02332224038,5,real,adapted
0.082,0.2537120508,0.02438104074,5,real,adapted
0.083,0.2548590449,0.02491166966,5,real,adapted
0.084,0.2560628045,0.02411849014,5,real,adapted
0.085,0.2567844977,0.02451936077,5,real,adapted
0.086,0.2581111573,0.0238160383,5,real,adapted
0.087,0.2594543658,0.02407645385,5,real,adapted
0.088,0.259935682,0.02434153551,5,real,adapted
0.089,0.2606601389,0.02456652929,5,real,adapted
0.09,0.2615006573,0.02417718328,5,real,adapted
0.091,0.263120173,0.02362746879,5,real,adapted
0.092,0.2640131453,0.02437226541,5,real,adapted
