frac_index,scaled_cumsum,n_scores,residual_df,year,month,day_idx,day,model_variant,dataset,domain_group,domain_label,domain_title,domain_order,tile_row,tile_col,tile_n_rows,tile_n_cols,lat_min,lat_max,lon_min,lon_max,n_blocks_used,n_blocks_full,n_grid_full
0.005000,0.005656,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.010000,0.009476,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.015000,0.013647,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.020000,0.019367,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.025000,0.023550,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.030000,0.029673,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.035000,0.034342,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.040000,0.039669,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.045000,0.043804,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.050000,0.048270,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.055000,0.053313,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.060000,0.059600,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.065000,0.064419,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.070000,0.072094,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.075000,0.078045,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.080000,0.080955,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.085000,0.089565,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.090000,0.093310,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.095000,0.099643,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.100000,0.101394,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.105000,0.107416,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.110000,0.112436,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.115000,0.121585,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.120000,0.124153,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.125000,0.126947,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.130000,0.131252,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.135000,0.137226,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.140000,0.146681,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.145000,0.152450,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.150000,0.155331,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.155000,0.160035,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.160000,0.166081,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.165000,0.172711,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.170000,0.175938,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.175000,0.179109,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.180000,0.184529,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.185000,0.188818,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.190000,0.193016,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.195000,0.195205,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.200000,0.198999,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.205000,0.207885,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.210000,0.214482,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.215000,0.223471,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
0.220000,0.231887,18126,142863.000000,2023,7,0,2023-07-01,matern_s03,real,full,full,full x1 grid,0,0,0,0,0,,,,,0,0,18126
