dataset_id,data_kind,date,method,index,frac_index,eigenvalue,whitened_score,squared_score,cumulative_squared_score,expected,scaled_cumulative,scaled_expected,scaled_band_lower,scaled_band_upper
synthetic_20240719,synthetic,2024-07-19,shifted,1,0.0003133813851,30.12641682,1.246419238,1.553560918,1.553560918,1,0.0004868570723,0.0003133813851,-0.03368700322,0.03431376599
synthetic_20240719,synthetic,2024-07-19,shifted,2,0.0006267627703,29.84491955,-1.226988002,1.505499558,3.059060476,2,0.0009586526091,0.0006267627703,-0.03337362183,0.03462714737
synthetic_20240719,synthetic,2024-07-19,shifted,3,0.0009401441554,29.65358504,1.735332394,3.011378519,6.070438995,3,0.001902362581,0.0009401441554,-0.03306024044,0.03494052876
synthetic_20240719,synthetic,2024-07-19,shifted,4,0.001253525541,29.196469,0.1113072331,0.01238930014,6.082828295,4,0.001906245157,0.001253525541,-0.03274685906,0.03525391014
synthetic_20240719,synthetic,2024-07-19,shifted,5,0.001566906926,28.8398967,0.6895278896,0.4754487105,6.558277006,5,0.002055241932,0.001566906926,-0.03243347767,0.03556729153
synthetic_20240719,synthetic,2024-07-19,shifted,6,0.001880288311,28.77084337,0.7433810581,0.5526153976,7.110892403,6,0.002228421311,0.001880288311,-0.03212009629,0.03588067291
synthetic_20240719,synthetic,2024-07-19,shifted,7,0.002193669696,28.44907377,-0.4303985782,0.1852429361,7.296135339,7,0.002286472999,0.002193669696,-0.0318067149,0.0361940543
synthetic_20240719,synthetic,2024-07-19,shifted,8,0.002507051081,28.26669938,-1.830964948,3.35243264,10.64856798,8,0.003337062983,0.002507051081,-0.03149333352,0.03650743568
synthetic_20240719,synthetic,2024-07-19,shifted,9,0.002820432466,28.19670274,1.962411958,3.851060694,14.49962867,9,0.004543913718,0.002820432466,-0.03117995213,0.03682081707
synthetic_20240719,synthetic,2024-07-19,shifted,10,0.003133813851,28.1588418,-0.9154975553,0.8381357737,15.33776445,10,0.004806569867,0.003133813851,-0.03086657075,0.03713419845
synthetic_20240719,synthetic,2024-07-19,shifted,11,0.003447195237,27.89789372,0.3237835008,0.1048357554,15.4426002,11,0.004839423442,0.003447195237,-0.03055318936,0.03744757984
synthetic_20240719,synthetic,2024-07-19,shifted,12,0.003760576622,27.76886,0.3978756369,0.1583050225,15.60090522,12,0.004889033289,0.003760576622,-0.03023980798,0.03776096122
synthetic_20240719,synthetic,2024-07-19,shifted,13,0.004073958007,27.58822851,1.819117337,3.309187887,18.91009311,13,0.005926071173,0.004073958007,-0.02992642659,0.03807434261
synthetic_20240719,synthetic,2024-07-19,shifted,14,0.004387339392,27.41822768,-0.4425638203,0.195862735,19.10595585,14,0.005987450908,0.004387339392,-0.02961304521,0.03838772399
synthetic_20240719,synthetic,2024-07-19,shifted,15,0.004700720777,27.32259265,2.753379538,7.581098882,26.68705473,15,0.008363226176,0.004700720777,-0.02929966382,0.03870110538
synthetic_20240719,synthetic,2024-07-19,shifted,16,0.005014102162,26.97357587,0.405778037,0.1646558153,26.85171054,16,0.008414826244,0.005014102162,-0.02898628244,0.03901448676
synthetic_20240719,synthetic,2024-07-19,shifted,17,0.005327483547,26.84053136,-0.6653164068,0.4426459212,27.29435647,17,0.008553543236,0.005327483547,-0.02867290105,0.03932786815
synthetic_20240719,synthetic,2024-07-19,shifted,18,0.005640864933,26.74146932,-0.2993611893,0.08961712168,27.38397359,18,0.008581627573,0.005640864933,-0.02835951967,0.03964124953
synthetic_20240719,synthetic,2024-07-19,shifted,19,0.005954246318,26.72714326,-0.1015373783,0.01030983919,27.39428343,19,0.008584858485,0.005954246318,-0.02804613828,0.03995463092
synthetic_20240719,synthetic,2024-07-19,shifted,20,0.006267627703,26.39686029,1.446808099,2.093253676,29.4875371,20,0.009240845222,0.006267627703,-0.0277327569,0.0402680123
synthetic_20240719,synthetic,2024-07-19,shifted,21,0.006581009088,26.26026504,0.9478179663,0.8983588973,30.385896,21,0.009522374177,0.006581009088,-0.02741937551,0.04058139369
synthetic_20240719,synthetic,2024-07-19,shifted,22,0.006894390473,26.05007114,0.5923331509,0.3508585617,30.73675456,22,0.009632326719,0.006894390473,-0.02710599413,0.04089477507
synthetic_20240719,synthetic,2024-07-19,shifted,23,0.007207771858,25.97930065,-1.747792213,3.054777619,33.79153218,23,0.01058963716,0.007207771858,-0.02679261274,0.04120815646
synthetic_20240719,synthetic,2024-07-19,shifted,24,0.007521153243,25.90767638,1.741501538,3.032827606,36.82435979,24,0.01154006888,0.007521153243,-0.02647923136,0.04152153784
