day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget,n_obs,mean_rank,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_y2,mean_y2,max_abs_bridge_scaled,brown_bridge_pvalue_approx,brown_bridge_width
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.300000,1.188183,0.669514,0.087471,8.771511,0.195369,44.897208,5.118526,0.000000,1092,2,1090,0.000000,2.021705,446.032773,1092.139848,1.001963,0.708815,0.696516,63.410398
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.300000,1.161486,0.335095,0.086787,8.919258,0.225242,39.598634,4.439678,0.000000,1119,2,1117,0.000000,1.888376,544.555826,1116.647274,0.999684,0.773785,0.587321,64.190952
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.300000,1.167435,0.353541,0.090912,11.078103,0.322978,34.299891,3.096188,0.000000,1120,2,1118,0.000000,1.890242,975.964418,1116.191496,0.998382,1.095913,0.180930,64.219679
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.300000,1.162753,0.343571,0.080012,12.496947,0.406688,30.728614,2.458890,0.000000,1116,2,1114,0.000000,1.857338,1307.311901,1115.209390,1.001086,0.918761,0.367353,64.104693
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.300000,1.143132,0.329425,0.088682,7.381308,0.173208,42.615278,5.773405,0.000000,1130,2,1128,0.000000,1.827997,323.594811,1129.790248,1.001587,0.843231,0.475660,64.506248
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.300000,1.200416,0.410121,0.090172,15.388814,0.503911,30.538731,1.984476,0.000000,1160,2,1158,0.000000,2.011489,1858.613391,1159.864215,1.001610,0.842550,0.476707,65.358415
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.300000,1.142144,0.337608,0.087309,9.909150,0.295232,33.563927,3.387165,0.000000,1160,2,1158,0.000000,1.784090,816.351512,1160.455709,1.002121,0.771829,0.590579,65.358415
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.300000,1.185314,0.348935,0.086518,16.204756,0.584409,27.728437,1.711130,0.000000,1121,2,1119,0.000000,1.936867,2019.020814,1119.505373,1.000452,0.825772,0.502836,64.248394
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.300000,1.180594,0.337515,0.090526,8.794454,0.202593,43.409360,4.935993,0.000000,1091,2,1089,0.000000,1.983656,467.434510,1091.541752,1.002334,1.444743,0.030764,63.381304
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.300000,1.169479,0.346704,0.083451,11.531060,0.344074,33.513315,2.906352,0.000000,1119,2,1117,0.000000,1.894398,1069.913733,1116.606313,0.999648,0.766216,0.599949,64.190952
